species,host_sites,cases_total,cases_done,sites_with_energy,sites_missing,extxyz,cif
Ag,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Ag/Ag_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Ag/Ag_site_map.cif
Al,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Al/Al_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Al/Al_site_map.cif
Ar,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Ar/Ar_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Ar/Ar_site_map.cif
Au,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Au/Au_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Au/Au_site_map.cif
B,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/B/B_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/B/B_site_map.cif
Be,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Be/Be_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Be/Be_site_map.cif
C,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/C/C_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/C/C_site_map.cif
Cl,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Cl/Cl_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Cl/Cl_site_map.cif
Cu,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Cu/Cu_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Cu/Cu_site_map.cif
F,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/F/F_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/F/F_site_map.cif
Fe,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Fe/Fe_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Fe/Fe_site_map.cif
Ge,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Ge/Ge_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Ge/Ge_site_map.cif
H,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/H/H_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/H/H_site_map.cif
He,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/He/He_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/He/He_site_map.cif
Li,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Li/Li_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Li/Li_site_map.cif
Mg,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Mg/Mg_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Mg/Mg_site_map.cif
N,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/N/N_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/N/N_site_map.cif
Na,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Na/Na_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Na/Na_site_map.cif
Ne,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Ne/Ne_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Ne/Ne_site_map.cif
O,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/O/O_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/O/O_site_map.cif
P,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/P/P_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/P/P_site_map.cif
S,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/S/S_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/S/S_site_map.cif
Sn,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Sn/Sn_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Sn/Sn_site_map.cif
Ti,64,64,64,64,0,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Ti/Ti_site_map.extxyz,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/substitutional_site_maps/Ti/Ti_site_map.cif
